Major.Min.Comp,Minor.Min.Comp1,Minor.Min.Comp2,Appraisal,Mass
DEMANTOID,DESCLOIZITE,TREMOLITE,20192.37,218.4237
GIBBSITE,SEMSEYITE,KUNZITE,2128.09,26.780900000000003
SYLVITE,ANDESINE,BROOKITE,35102.63,360.3263
PARASYMPLESITE,PUCHERITE,SULFUR,2422.67,31.826700000000002
ALMANDINE,HOWLITE,PLATINUM,21573.55,232.4355
MALACHITE,GIBBSITE,OSUMILITE,10964.02,116.34020000000001
PUCHERITE,PARAVAUXITE,BIF,14154.6,154.846
ANDALUSITE,ALBITE,MARCASITE,5349.47,86.19470000000001
MALACHITE,KUNZITE,ICE,2927.33,42.0733
CLINOHEDRITE,BORAX,ANTIMONY,26650.1,273.301
RUBY,HEMATITE,ALTAITE,4749.67,52.19670000000001
SMITHSONITE,PLATINUM,CARNOTITE,32562.01,338.7201
ARTINITE,PYROMORPHITE,ILVAITE,17419.58,193.59580000000003
KOVDORSKITE,DIAMOND,NEPTUNITE,25075.98,264.65979999999996
HUMITE,DEMANTOID,PLATINUM,12473.94,119.7394
DATOLITE,OBSIDIAN,SMITHSONITE,42762.99,446.62989999999996
SEMSEYITE,SILICATES,CLEAVELANDITE,11429.44,114.3944
DIAMOND,CLINOPTILOLITE,CLINOHEDRITE,23910.21,248.80209999999997
PARISITE,ALMANDINE,PYROAURITE,753.58,9.1358
OBSIDIAN,ROSE_QUARTZ,BLODITE,470.85,18.5085
CORDYLITE,SILICATES,ROSE_QUARTZ,22413.46,238.13459999999998
FLUORAPATITE,ANDERSONITE,DATOLITE,889.93,18.1993
BLODITE,ENSTATITE,BARATOVITE,4734.99,50.649899999999995
CUBANITE,CACOXENITE,CORDYLITE,10.91,16.5091
ANDERSONITE,PERIDOT,TAAFFEITE,15753.01,166.4301
DESCLOIZITE,DEMANTOID,THOMSONITE,7654.54,99.9454
NEPHELINE,ILVAITE,SEMSEYITE,7030.56,67.8056
SAINFELDITE,GIBBSITE,SUNSTONE,8882.6,98.02600000000001
GAYLUSSITE,PARASYMPLESITE,ARTINITE,6330.97,59.9097
BLODITE,PHLOGOPITE,STURMANITE,13752.1,135.721
HOWLITE,GORMANITE,CLINOPTILOLITE,12055.97,129.3597
ILVAITE,PYROAURITE,ICE,13653.44,141.33440000000002
BORAX,PYROMORPHITE,TALC,3025.46,37.8546
SILICATES,BROOKITE,HOWLITE,27378.74,296.0874
ALMANDINE,PYROAURITE,TREMOLITE,5399.51,65.2951
ROSASITE,PYROMORPHITE,SELENITE,12294.8,130.648
SILICATES,ROSE_QUARTZ,OSUMILITE,12949.15,128.3915
MELANOPHLOGITE,CLINOPTILOLITE,PYROAURITE,38815.92,388.3592
ANDERSONITE,DIAMOND,DESCLOIZITE,27488.13,296.98130000000003
KOVDORSKITE,CLINOHEDRITE,KOTTIGITE,23915.42,242.75419999999997
CACOXENITE,HINSDALITE,NEPHELINE,4491.4,55.513999999999996
ALTAITE,CHLORITE,CUBANITE,29317.79,303.6779
CORDYLITE,SEMSEYITE,ACANTHITE,8338.52,96.6852
NICKELINE,ANDESINE,NEPHELINE,5061.73,59.01729999999999
NEPHELINE,SMITHSONITE,ANDERSONITE,1261.76,21.8176
ANDESINE,BORNITE,HUMITE,7568.41,97.5841
PHLOGOPITE,ROSE_QUARTZ,BORAX,6199.53,89.59530000000001
HINSDALITE,BERLINITE,SELENITE,18843.02,210.6302
PARAVAUXITE,PLATINUM,KOTTIGITE,13198.7,145.887
ARTINITE,HUMITE,SENARMONTITE,11688.73,131.7873
CUMMINGTONITE,BOURNONITE,MALACHITE,36997.19,381.9719
SULFUR,ARSENIC,NEPHELINE,12307.68,117.47680000000001
CHRYSOBERYL,NICKELINE,TALC,13074.66,147.0466
SYLVITE,ANDALUSITE,PHOSPHATES,7113.82,82.73819999999999
PARASYMPLESITE,ANTIMONY,PUCHERITE,18083.33,195.5333
BROOKITE,GEODES,HINSDALITE,7672.79,90.42790000000001
BARATOVITE,PUCHERITE,OBSIDIAN,13597.09,137.2709
MELANOPHLOGITE,KOVDORSKITE,SMITHSONITE,18135.76,180.6576
SCORODITE,PYROMORPHITE,CHLORITE,8572.95,94.62950000000001
SCHORL,MALACHITE,SELENITE,10202.21,112.32209999999999
KOVDORSKITE,DATOLITE,HEMATITE,6679.68,57.0968
BOURNONITE,SMITHSONITE,NEPHELINE,14156.82,135.9682
HINSDALITE,HOWLITE,CUBANITE,12157.7,142.977
PARASYMPLESITE,SELENITE,PERIDOT,4843.99,55.039899999999996
ARSENIC,TAAFFEITE,DIOPSIDE,22631.44,230.6144
SILICATES,TAAFFEITE,OSUMILITE,24784.84,259.2484
GIBBSITE,RUBY,ILVAITE,6916.63,66.4663
STELLERITE,PHOSPHATES,MELANOPHLOGITE,22961.35,218.31349999999998
ANTIMONY,NEPTUNITE,SAINFELDITE,11678.81,135.0881
HUMITE,KOTTIGITE,ANDESINE,14752.1,165.221
BORAX,CHLORITE,DATOLITE,4830.81,63.908100000000005
ALTAITE,ERIONITE,ROSASITE,4982,64.22
OBSIDIAN,ALTAITE,MALACHITE,14866.46,174.86459999999997
ARTINITE,PHLOGOPITE,ROSASITE,5185.18,50.851800000000004
ARSENIC,THOMSONITE,GAYLUSSITE,22029.83,215.09830000000002
ROSASITE,SEMSEYITE,BERLINITE,8029.36,80.4936
NEPHELINE,STELLERITE,HINSDALITE,12649.56,125.59559999999999
BORAX,PARASYMPLESITE,PYROAURITE,23505.1,272.851
GEODES,FLUORAPATITE,ERIONITE,23438.24,247.78240000000002
CHRYSOBERYL,GEODES,FLUORAPATITE,292.6,7.026
ROSE_QUARTZ,CORDYLITE,PERIDOT,17737.34,174.8734
MALACHITE,PLATINUM,ANDALUSITE,27104.93,279.14930000000004
TALC,HEULANDITE,BROOKITE,24767.2,254.87199999999999
BORNITE,PARISITE,NEPHELINE,5616.03,63.8603
TREMOLITE,TALC,ICE,11763.68,133.73680000000002
PERIDOT,SCORODITE,ANDESINE,4015.42,42.6542
DATOLITE,ANTIMONY,SUNSTONE,19578.64,189.48639999999997
OBSIDIAN,HOWLITE,PARAVAUXITE,22484.06,247.24060000000003
BIF,HUREAULITE,SYLVITE,590.78,25.007800000000003
ALMANDINE,OBSIDIAN,HEULANDITE,22388.91,235.1891
CLINOHEDRITE,PYROMORPHITE,SENARMONTITE,26398.67,284.5867
FLUORAPATITE,CUBANITE,BORNITE,1869.31,42.5931
CUMMINGTONITE,NEPTUNITE,PLATINUM,6196.35,63.563500000000005
ANTIMONY,BROOKITE,DESCLOIZITE,15022.01,178.0201
DEMANTOID,ANTIMONY,DIAMOND,23612.95,244.7295
OBSIDIAN,ARSENIC,ARTINITE,10506.44,118.46440000000001
NICKELINE,ARFVEDSONITE,CORDYLITE,2817,37.870000000000005
HOWLITE,GIBBSITE,OSUMILITE,12329.43,132.1943
PYROMORPHITE,CHRYSOBERYL,CLINOPTILOLITE,423.4,1.334
PUCHERITE,TREMOLITE,NEPTUNITE,17801.21,171.9121
ANDALUSITE,SMITHSONITE,CLEAVELANDITE,4081.95,54.4195
HEULANDITE,NEPTUNITE,BOURNONITE,3543.93,47.63929999999999
KUNZITE,NEPHELINE,MARCASITE,3642.7,67.227
SENARMONTITE,BORNITE,ROSE_QUARTZ,10545.99,126.5599
GAYLUSSITE,SEMSEYITE,TREMOLITE,22273.86,227.3386
PHOSPHATES,NICKELINE,PYROMORPHITE,140.21,4.6021
GMELINITE,ALBITE,PARASYMPLESITE,15707.73,185.9773
ARSENIC,NICKELINE,CACOXENITE,8337.14,102.47139999999999
ALMANDINE,BARATOVITE,STELLERITE,24956.59,275.6659
DESCLOIZITE,ANTIMONY,COAL,9044.43,99.9443
CLINOHEDRITE,BORNITE,RHODIZITE,32704.65,336.2465
SILVER,DIOPSIDE,MARCASITE,4366.71,69.6671
CARNOTITE,SYLVITE,PUCHERITE,3461.69,45.2169
BARATOVITE,TALC,CORDYLITE,22517.74,238.3774
GIBBSITE,SCORODITE,ENSTATITE,960.42,0.6041999999999987
GIBBSITE,ENSTATITE,PARISITE,3269.06,25.090599999999995
NEPTUNITE,CHRYSOBERYL,CARNOTITE,1140.87,37.2087
PYROAURITE,SAINFELDITE,BERLINITE,9539.58,96.3958
ILVAITE,ALTAITE,GIBBSITE,3451.08,46.910799999999995
MELANOPHLOGITE,PLATINUM,SILVER,13099.49,151.4949
CHLORITE,BOURNONITE,DATOLITE,13151.38,148.7138
TREMOLITE,ARTINITE,ANDESINE,22328.61,224.3861
MALACHITE,ROSASITE,CORDYLITE,11858.73,130.5873
SYLVITE,TELLURIUM,TREMOLITE,5015.7,64.25699999999999
SILVER,PYROAURITE,HEULANDITE,15603.28,185.5328
CHLORITE,BARATOVITE,CARNOTITE,11452.85,150.0285
OSUMILITE,GAYLUSSITE,ANDESINE,41717.7,425.57699999999994
ALMANDINE,STELLERITE,CLEAVELANDITE,6422.03,86.12029999999999
SINHALITE,ALTAITE,SULFUR,13232.32,123.82319999999999
RHODIZITE,ALMANDINE,ARAGONITE,20410.04,204.2004
COAL,MARCASITE,GMELINITE,3617.72,37.3772
ALTAITE,CUBANITE,SYLVITE,14319.48,150.39479999999998
ARAGONITE,BASALT,CUMMINGTONITE,18083.83,190.9383
SILVER,CORDYLITE,PLATINUM,20951.13,211.5113
ILVAITE,GORMANITE,BIF,43539.44,432.0944
SULFUR,DIAMOND,HUMITE,13287.88,134.97879999999998
STELLERITE,RUBY,ARFVEDSONITE,17778.63,190.3863
CLINOPTILOLITE,PLATINUM,MELANOPHLOGITE,3556.03,45.66030000000001
STURMANITE,ROSE_QUARTZ,GMELINITE,10238.01,116.2801
CUMMINGTONITE,GEODES,PUCHERITE,27627.02,282.2702
PUCHERITE,BARATOVITE,ANTIMONY,20414.64,216.4464
PLATINUM,ROSASITE,ARSENIC,13304.17,145.9417
ARAGONITE,RHODIZITE,CORDYLITE,18264.19,207.7419
CUMMINGTONITE,HINSDALITE,MALACHITE,14310.19,152.3019
ACANTHITE,GORMANITE,GIBBSITE,19286.76,195.7676
BORNITE,PUCHERITE,SINHALITE,22268.96,221.88959999999997
CHLORITE,SUNSTONE,SCORODITE,10791.11,120.5111
CLINOHEDRITE,CLINOPTILOLITE,MARCASITE,1803.42,24.2342
HEMATITE,PYROMORPHITE,ICE,16484.38,180.64380000000003
CLINOPTILOLITE,ANDERSONITE,THOMSONITE,14093.55,140.53549999999998
RUBY,CUBANITE,MALACHITE,7583.67,61.136700000000005
ANDERSONITE,BOURNONITE,GEODES,28125.61,279.8561
MALACHITE,ROSASITE,STELLERITE,2451.98,41.919799999999995
SCHORL,CACOXENITE,CUMMINGTONITE,1412.11,27.2211
BOLEITE,ENSTATITE,ANDALUSITE,4180.42,56.8042
ANDALUSITE,HEULANDITE,CLEAVELANDITE,6197.67,70.5767
DATOLITE,ALTAITE,ARSENIC,24230.05,263.7005
CHLORITE,SELENITE,BIF,4034.5,37.945
SYLVITE,HOWLITE,PHOSPHATES,3963.23,77.53229999999999
SENARMONTITE,CHLORITE,SELENITE,9800.07,112.9007
CLEAVELANDITE,MELANOPHLOGITE,DIOPSIDE,1552.45,31.2245
PERIDOT,BLODITE,NEPTUNITE,8820.12,89.30120000000001
GORMANITE,STELLERITE,SENARMONTITE,6042.25,52.3225
TELLURIUM,CLINOHEDRITE,CUBANITE,24469.28,252.19279999999998
PARAVAUXITE,HUREAULITE,ERIONITE,5005.41,60.1541
ARSENIC,STURMANITE,DEMANTOID,6837.48,90.8748
DIAMOND,PARASYMPLESITE,HOPEITE,13591.36,141.3136
ANDERSONITE,DEMANTOID,ICE,29570.21,300.5021
ARAGONITE,PARAVAUXITE,STURMANITE,17350.49,189.40490000000003
GAYLUSSITE,ROSASITE,PARISITE,7310.44,83.20439999999999
KOVDORSKITE,PYROMORPHITE,BIF,9281.51,92.2151
SENARMONTITE,PYROAURITE,CORDYLITE,5096.68,48.06680000000001
HOPEITE,PERIDOT,ARTINITE,47581.51,492.11510000000004
GMELINITE,OSUMILITE,COAL,10351.81,98.61809999999998
BOLEITE,ANDALUSITE,TELLURIUM,26951.64,282.6164
KOTTIGITE,ROSASITE,PERIDOT,1383.56,38.3356
PARAVAUXITE,RHODIZITE,BORNITE,12917.01,133.27009999999999
CORDYLITE,ANDERSONITE,TAAFFEITE,2375.54,36.5554
HOWLITE,CLINOPTILOLITE,MALACHITE,5518.34,45.4834
OBSIDIAN,SAINFELDITE,ROSE_QUARTZ,3189.15,25.3915
CLINOHEDRITE,NEPTUNITE,BROOKITE,9615.8,96.55799999999999
PLATINUM,GAYLUSSITE,SENARMONTITE,6162.07,68.4207
ANTIMONY,SINHALITE,TAAFFEITE,20639.55,230.6955
ILVAITE,GEODES,ALTAITE,13771.33,139.8133
SUNSTONE,MALACHITE,ACANTHITE,5514.78,74.2478
PERIDOT,GORMANITE,SUNSTONE,9845.53,98.95530000000001
ERIONITE,SILVER,ARFVEDSONITE,2716.77,32.5677
PARAVAUXITE,OBSIDIAN,KOVDORSKITE,38484.36,386.3436
GORMANITE,FLUORAPATITE,ACANTHITE,10267.82,102.8782
SILVER,GEODES,HEMATITE,4774.24,51.042399999999994
BASALT,HOWLITE,ANDALUSITE,15274.88,161.1488
KUNZITE,GORMANITE,ENSTATITE,1021.61,13.4161
OBSIDIAN,ARTINITE,PUCHERITE,19720.02,199.1002
KOVDORSKITE,NICKELINE,PARISITE,400.94,24.2094
ANDERSONITE,ANDALUSITE,DIOPSIDE,2742.27,40.8227
ILVAITE,ARAGONITE,CUBANITE,11528.63,127.4863
ALTAITE,ANDALUSITE,THOMSONITE,6331.98,70.81979999999999
NEPTUNITE,PARISITE,ARFVEDSONITE,2553.7,14.036999999999999
NEPTUNITE,BERLINITE,TALC,15854.28,158.7428
TALC,ANDALUSITE,SILICATES,18528.75,168.2875
MALACHITE,GIBBSITE,ARTINITE,7188.49,68.9849
HINSDALITE,ARSENIC,BORAX,9808.21,102.7821
DATOLITE,KUNZITE,ROSASITE,18456.26,211.8626
CLINOHEDRITE,ANDERSONITE,SAINFELDITE,16984.75,190.6475
GORMANITE,SELENITE,SENARMONTITE,12771.21,145.6121
STURMANITE,SAINFELDITE,TAAFFEITE,958.19,11.881900000000002
NEPTUNITE,ARFVEDSONITE,ALTAITE,3015.77,36.957699999999996
PARASYMPLESITE,DEMANTOID,GIBBSITE,19864.63,200.5463
BOURNONITE,ENSTATITE,STELLERITE,17557.41,195.77409999999998
PLATINUM,RUBY,ROSE_QUARTZ,18399.67,219.49669999999998
SUNSTONE,RHODIZITE,NICKELINE,24064.98,235.2498
KUNZITE,HOPEITE,PARASYMPLESITE,3022.07,18.5207
ARAGONITE,GAYLUSSITE,PARISITE,3047.92,47.2792
BASALT,KOTTIGITE,SENARMONTITE,4213.46,44.8346
KOTTIGITE,ARTINITE,NEPHELINE,901.62,15.2162
BLODITE,SILICATES,GEODES,36354.9,367.54900000000004
CORDYLITE,MARCASITE,PUCHERITE,18690.91,198.9091
SCORODITE,HUREAULITE,HUMITE,10053.46,103.8346
ANDALUSITE,KOTTIGITE,MALACHITE,7208.85,91.28850000000001
SELENITE,SILVER,SAINFELDITE,7828.82,113.5882
ERIONITE,ENSTATITE,ARSENIC,13510.18,147.6018
STELLERITE,BIF,BARATOVITE,22746.33,237.5633
ILVAITE,OSUMILITE,ROSE_QUARTZ,9544.9,108.749
ICE,ARAGONITE,NICKELINE,2632.12,39.6212
ACANTHITE,MALACHITE,DIAMOND,4001.42,74.9142
BOURNONITE,SILICATES,ALBITE,5792.45,72.02449999999999
TALC,SILVER,CLEAVELANDITE,25039.22,282.5922
SUNSTONE,ARTINITE,SCORODITE,3949.32,41.2932
HOWLITE,PARAVAUXITE,ARTINITE,6646.2,40.562000000000005
DESCLOIZITE,TALC,CHRYSOBERYL,1966.58,27.3658
NICKELINE,BORAX,BARATOVITE,3705.44,64.8544
ICE,PLATINUM,STELLERITE,19664.16,208.3416
BASALT,ARFVEDSONITE,GORMANITE,4000.43,47.3043
ANDERSONITE,ROSE_QUARTZ,ANDESINE,2448.65,34.5865
BORAX,CARNOTITE,ANTIMONY,9523.32,121.2332
MALACHITE,CHRYSOBERYL,PHOSPHATES,9483.01,112.43010000000001
ROSE_QUARTZ,BORAX,CLINOPTILOLITE,1515.1,36.451
ROSE_QUARTZ,PUCHERITE,CARNOTITE,7112.84,89.7284
MELANOPHLOGITE,ARTINITE,MARCASITE,1716.26,35.1626
GORMANITE,SYLVITE,MELANOPHLOGITE,7532.61,83.3261
SEMSEYITE,ENSTATITE,GEODES,6877.83,59.6783
STURMANITE,OSUMILITE,ARTINITE,19555.22,198.0522
KOTTIGITE,ARFVEDSONITE,SELENITE,4142.97,73.3297
ARTINITE,NICKELINE,BLODITE,6695.69,73.25689999999999
PHLOGOPITE,HEULANDITE,ROSE_QUARTZ,2270.72,20.707199999999997
BORNITE,SEMSEYITE,DIOPSIDE,9369.08,96.4908
CUMMINGTONITE,HEULANDITE,OBSIDIAN,811.74,16.517400000000002
SUNSTONE,HINSDALITE,BORAX,7998.99,100.38989999999998
BORNITE,SCORODITE,ANDERSONITE,7236.52,82.1652
CLEAVELANDITE,DIAMOND,RHODIZITE,5013.29,66.4329
PHLOGOPITE,BERLINITE,HEMATITE,21991.44,241.0144
ALMANDINE,SENARMONTITE,HINSDALITE,4956.45,61.36449999999999
CLINOPTILOLITE,CUMMINGTONITE,PHLOGOPITE,11382.14,131.1214
MALACHITE,HINSDALITE,THOMSONITE,2392.52,41.925200000000004
ARFVEDSONITE,NEPHELINE,KOTTIGITE,18716.75,195.1675
SMITHSONITE,BORAX,BOLEITE,18864.32,194.2432
COAL,ALBITE,ACANTHITE,11188.15,123.28150000000001
KOTTIGITE,PARISITE,TAAFFEITE,13639.35,157.9935
SUNSTONE,BIF,ALMANDINE,20968.98,232.38979999999998
ERIONITE,STELLERITE,CUMMINGTONITE,15152.49,152.6249
SCORODITE,MARCASITE,SYLVITE,15485.28,161.0528
SAINFELDITE,ICE,TAAFFEITE,22160.07,224.5007
SUNSTONE,PYROMORPHITE,KUNZITE,376.64,10.4664
NEPHELINE,PYROAURITE,HUREAULITE,17936.37,208.06369999999998
HOPEITE,DIAMOND,DESCLOIZITE,2885.84,37.458400000000005
BORAX,DEMANTOID,STURMANITE,3606.85,57.0685
SCORODITE,MELANOPHLOGITE,SILVER,25695.98,273.7598
HOWLITE,PYROMORPHITE,ANDESINE,24608.97,258.78970000000004
PYROMORPHITE,ALTAITE,CLINOHEDRITE,7080.2,69.702
COAL,TELLURIUM,THOMSONITE,6195.39,80.35390000000001
ALMANDINE,ANTIMONY,ARFVEDSONITE,18605.96,206.25959999999998
ARTINITE,DESCLOIZITE,FLUORAPATITE,5725.92,75.4592
HOWLITE,ACANTHITE,TELLURIUM,23124.85,238.24849999999998
CARNOTITE,CLEAVELANDITE,KUNZITE,33984.31,361.1431
TAAFFEITE,BOURNONITE,CORDYLITE,23640.21,244.8021
PHOSPHATES,TELLURIUM,THOMSONITE,7295.78,78.3578
SULFUR,SILICATES,CORDYLITE,14679.91,167.69910000000002
CHLORITE,SELENITE,SCORODITE,12753.56,127.83559999999999
KOVDORSKITE,BOLEITE,DATOLITE,41320.19,423.4019
PARASYMPLESITE,RUBY,TALC,19866.7,197.967
PERIDOT,ERIONITE,ACANTHITE,26230.3,280.303
BORNITE,MALACHITE,ILVAITE,4222.71,49.8271
SELENITE,GEODES,BIF,13571.61,146.51610000000002
NEPHELINE,SMITHSONITE,ANDERSONITE,3492.77,52.127700000000004
ROSE_QUARTZ,CUBANITE,ICE,8670.36,95.60360000000001
TREMOLITE,HOPEITE,CLINOPTILOLITE,9063.22,107.8322
CARNOTITE,MELANOPHLOGITE,BERLINITE,20097.15,212.97150000000002
BROOKITE,MALACHITE,STURMANITE,7067,90.87
PARISITE,HOPEITE,RUBY,8435.52,85.4552
CUMMINGTONITE,SCHORL,SENARMONTITE,8921.97,108.21969999999999
STELLERITE,KOTTIGITE,DEMANTOID,20119.26,211.39259999999996
NEPTUNITE,SEMSEYITE,GEODES,17883.22,160.6322
CACOXENITE,GORMANITE,BORNITE,19031.97,210.61970000000002
ALTAITE,SUNSTONE,THOMSONITE,6975.37,75.4537
MALACHITE,ARTINITE,BARATOVITE,12249.93,142.5993
ILVAITE,THOMSONITE,RUBY,19709.66,203.4966
OBSIDIAN,TELLURIUM,SILVER,883.46,25.2346
CACOXENITE,PUCHERITE,MALACHITE,9731.47,111.2147
ANDERSONITE,PARISITE,MALACHITE,1715.68,46.656800000000004
ANTIMONY,HUREAULITE,DESCLOIZITE,24906.39,275.0639
ARFVEDSONITE,HOPEITE,FLUORAPATITE,15961.77,173.2177
RHODIZITE,TELLURIUM,HUREAULITE,3887.8,67.77799999999999
RHODIZITE,GORMANITE,GAYLUSSITE,9430.45,110.50450000000001
GORMANITE,ROSE_QUARTZ,MALACHITE,10526.16,112.0616
ANDERSONITE,NEPTUNITE,GIBBSITE,19866.6,196.566
GIBBSITE,BROOKITE,GMELINITE,20666.94,216.2694
HEULANDITE,CUMMINGTONITE,BERLINITE,15779.67,160.2967
PARISITE,GAYLUSSITE,BIF,14841.38,164.8138
SYLVITE,ARSENIC,SILICATES,5092.83,72.8283
KUNZITE,MALACHITE,PARASYMPLESITE,9336.82,97.4682
BARATOVITE,SILVER,BOURNONITE,8054.91,89.34909999999999
HINSDALITE,MALACHITE,ICE,598.3,20.383
ERIONITE,GMELINITE,PHLOGOPITE,7850.41,81.60409999999999
PUCHERITE,COAL,HUREAULITE,21738.14,230.58139999999997
NICKELINE,CARNOTITE,ARTINITE,6599.16,77.69160000000001
KUNZITE,RUBY,SEMSEYITE,5280.33,66.5033
BASALT,ARSENIC,BOURNONITE,5028.85,70.1885
SULFUR,ICE,RHODIZITE,17942.21,186.3221
CARNOTITE,HEULANDITE,BROOKITE,9872.33,101.1233
ERIONITE,SMITHSONITE,CHRYSOBERYL,16694.21,185.7421
DATOLITE,STELLERITE,DEMANTOID,4770.14,47.70140000000001
DIAMOND,ILVAITE,MARCASITE,9247.51,101.4751
HUREAULITE,PARASYMPLESITE,PHOSPHATES,7216.15,87.5615
GMELINITE,DIOPSIDE,BOURNONITE,20582.76,213.92759999999998
HEULANDITE,PARASYMPLESITE,CORDYLITE,10919.54,112.59540000000001
PLATINUM,DATOLITE,KUNZITE,32618.83,332.5883
SMITHSONITE,CARNOTITE,CHRYSOBERYL,8849.31,102.9931
PHOSPHATES,BIF,TAAFFEITE,4853.47,87.43469999999999
DIAMOND,PARAVAUXITE,TAAFFEITE,15826.8,179.268
PLATINUM,SENARMONTITE,SELENITE,27366.34,280.96340000000004
KOTTIGITE,ENSTATITE,SCORODITE,18400.21,193.4021
GAYLUSSITE,HINSDALITE,ARTINITE,36325.51,372.6551
PUCHERITE,STELLERITE,ROSASITE,26828.35,270.2835
MARCASITE,ANDESINE,CUBANITE,17754.74,185.94740000000002
BORNITE,SINHALITE,HUMITE,31251.61,327.0161
SILICATES,PARAVAUXITE,PARASYMPLESITE,5683.05,75.3305
CARNOTITE,PLATINUM,BOLEITE,26347.03,268.1703
ARFVEDSONITE,GEODES,BERLINITE,7030.13,95.2013
ICE,DESCLOIZITE,SEMSEYITE,24740.29,243.6029
GMELINITE,CORDYLITE,GORMANITE,5226.35,62.1635
ALBITE,THOMSONITE,SCHORL,19495.79,187.65789999999998
CUBANITE,CORDYLITE,HINSDALITE,1397.97,17.279700000000002
SENARMONTITE,ENSTATITE,ROSE_QUARTZ,17740.26,195.90259999999998
BROOKITE,RHODIZITE,ANTIMONY,12554.98,142.8498
MALACHITE,HOWLITE,ARSENIC,14910.39,171.9039
PARAVAUXITE,TELLURIUM,CHLORITE,717.66,31.9766
MALACHITE,CLINOPTILOLITE,HUREAULITE,9781.27,108.9127
PARISITE,BORAX,ICE,10154.42,105.8442
HEMATITE,HINSDALITE,PUCHERITE,20076.51,208.6651
RUBY,PARAVAUXITE,KOVDORSKITE,15611.15,146.1115
NEPTUNITE,CLINOHEDRITE,PARASYMPLESITE,7734.82,78.5482
DATOLITE,CLEAVELANDITE,KOVDORSKITE,15969.87,165.8987
GORMANITE,ANTIMONY,PERIDOT,18413.46,212.83459999999997
DIOPSIDE,TELLURIUM,ALBITE,4936.51,60.46510000000001
ICE,SULFUR,TALC,32414.12,320.14119999999997
ANDESINE,PUCHERITE,TAAFFEITE,814.4,24.344
STELLERITE,PHLOGOPITE,NEPTUNITE,8662.82,102.12819999999999
NEPTUNITE,GIBBSITE,DIOPSIDE,12167.46,117.4746
STELLERITE,KUNZITE,TREMOLITE,19370.92,209.40919999999997
CLEAVELANDITE,ANTIMONY,PARASYMPLESITE,12137.07,120.0707
PARAVAUXITE,PYROMORPHITE,ANDESINE,1562.04,40.8204
SENARMONTITE,BASALT,BARATOVITE,7318.68,62.88680000000001
SMITHSONITE,BROOKITE,BOLEITE,1034.56,1.0455999999999985
ALTAITE,COAL,MARCASITE,602.94,30.2294
BERLINITE,CHLORITE,CUBANITE,7198.77,84.1877
KOTTIGITE,STURMANITE,ACANTHITE,4454.88,57.3488
BORNITE,ERIONITE,ANDERSONITE,266.06,19.4606
SYLVITE,HUMITE,KOVDORSKITE,1633.97,25.6397
FLUORAPATITE,MARCASITE,CLEAVELANDITE,15832.95,150.2295
MARCASITE,BOURNONITE,DESCLOIZITE,40438.43,420.3843
KOTTIGITE,HEULANDITE,BLODITE,11709.45,127.49450000000002
BOURNONITE,ALMANDINE,ARFVEDSONITE,22540.03,234.10029999999998
BORNITE,ANDESINE,ALMANDINE,12982.32,136.42319999999998
GMELINITE,HEMATITE,ARAGONITE,13089.7,126.49700000000001
HEMATITE,SUNSTONE,PHOSPHATES,4608.56,47.485600000000005
DATOLITE,MALACHITE,KOTTIGITE,4723.1,66.231
GORMANITE,BLODITE,DATOLITE,21531.69,218.51689999999996
OBSIDIAN,ARSENIC,SELENITE,2830.97,34.5097
GORMANITE,BIF,PYROAURITE,20249.04,198.49040000000002
ALBITE,ARFVEDSONITE,PYROMORPHITE,24191.79,256.41790000000003
ALBITE,KUNZITE,SILVER,21531.23,229.7123
BLODITE,CHLORITE,DATOLITE,2797.13,38.8713
SYLVITE,ALBITE,PERIDOT,7362.59,101.02590000000001
RHODIZITE,SCORODITE,HOWLITE,24969.26,266.39259999999996
ROSASITE,ROSE_QUARTZ,CORDYLITE,5192.84,50.128400000000006
BORNITE,TALC,MALACHITE,20627.4,204.774
MALACHITE,BLODITE,GIBBSITE,13525.34,159.1534
SEMSEYITE,DIAMOND,ARAGONITE,7564.8,98.848
GMELINITE,PHLOGOPITE,NICKELINE,3459.24,48.392399999999995
GAYLUSSITE,ALTAITE,ILVAITE,13483.04,142.2304
KOVDORSKITE,BASALT,SULFUR,10895.61,126.7561
BIF,ALMANDINE,CARNOTITE,18427.19,202.6719
NICKELINE,TAAFFEITE,NEPHELINE,7145.41,77.4541
SILICATES,HUMITE,HEMATITE,4027.38,47.2738
PUCHERITE,OBSIDIAN,NICKELINE,16640.09,178.20090000000002
BARATOVITE,NICKELINE,NEPHELINE,27080.83,277.0083
CACOXENITE,ARFVEDSONITE,ICE,3370.17,47.5017
STURMANITE,ALTAITE,SELENITE,8899.93,84.2993
BERLINITE,SILICATES,CLINOHEDRITE,23130.13,255.9013
ALMANDINE,TALC,BORNITE,15614.6,160.246
SCHORL,BOURNONITE,PHLOGOPITE,10650.62,99.3062
GMELINITE,ALMANDINE,CLINOPTILOLITE,10887.21,139.3721
SILVER,PUCHERITE,ALBITE,6242.41,84.9241
SELENITE,HUREAULITE,CLINOPTILOLITE,13348.73,136.8873
OBSIDIAN,PHOSPHATES,NEPHELINE,2863.84,33.5384
GMELINITE,RHODIZITE,SILVER,9100.01,103.7001
COAL,NEPHELINE,PARAVAUXITE,4952.57,58.6257
