Appraisal,Mass,Major.Min.Comp,Minor.Min.Comp1,Minor.Min.Comp2
1168.74,23.8874,CORDYLITE,ROSE_QUARTZ,KUNZITE
24522.14,248.7214,SILICATES,BOLEITE,BASALT
32639.55,331.8955,ARSENIC,BOURNONITE,PARISITE
32880.09,326.4009,BARATOVITE,ARSENIC,HINSDALITE
10938.97,126.8897,ILVAITE,ACANTHITE,GIBBSITE
19909.88,190.6988,GMELINITE,NICKELINE,HINSDALITE
32876.69,332.7669,FLUORAPATITE,CACOXENITE,HUREAULITE
1168.16,27.9816,GORMANITE,ARFVEDSONITE,BARATOVITE
20358.04,212.8804,ENSTATITE,HOWLITE,DIOPSIDE
807.32,10.8732,SYLVITE,PYROMORPHITE,SILVER
3689.27,48.6927,BASALT,GAYLUSSITE,TREMOLITE
15537.47,176.9747,NICKELINE,HOPEITE,BORAX
7662.08,87.1208,MALACHITE,SCORODITE,ALTAITE
14156.05,151.8605,NEPTUNITE,SILICATES,HOWLITE
23331.65,239.0165,SENARMONTITE,PYROAURITE,ENSTATITE
8701.1,87.911,NEPHELINE,SULFUR,KUNZITE
9756.48,103.0648,PARISITE,SEMSEYITE,NICKELINE
1627.58,7.7758,ACANTHITE,BROOKITE,ARTINITE
1177.11,33.2711,SCHORL,KUNZITE,ARTINITE
1771.93,27.3193,SINHALITE,ENSTATITE,ARFVEDSONITE
19541.56,197.7156,TREMOLITE,STURMANITE,HINSDALITE
10612.11,131.5211,ARAGONITE,ACANTHITE,NEPTUNITE
14763.45,159.0345,BASALT,SENARMONTITE,HUREAULITE
3667.12,72.3712,CLINOHEDRITE,MELANOPHLOGITE,BROOKITE
13108.99,125.8899,BOURNONITE,STURMANITE,SCHORL
27.57,21.4757,ERIONITE,DIAMOND,DEMANTOID
3508.48,39.8848,SEMSEYITE,KOTTIGITE,ALMANDINE
13986.46,144.8646,DEMANTOID,STELLERITE,BERLINITE
2380.63,46.2063,ILVAITE,STELLERITE,GORMANITE
22726.84,246.7684,ROSE_QUARTZ,TELLURIUM,ILVAITE
18167.14,192.6714,ROSASITE,TALC,PHOSPHATES
22647.15,231.6715,CHLORITE,CLINOPTILOLITE,STELLERITE
27404.09,308.2409,BOURNONITE,BERLINITE,STELLERITE
13265.29,136.6529,SULFUR,ERIONITE,HOPEITE
32416.74,335.0674,MALACHITE,SULFUR,PHOSPHATES
6111.88,77.7188,SULFUR,PLATINUM,SEMSEYITE
28463.14,283.3314,KOTTIGITE,HOWLITE,CLEAVELANDITE
5769.39,67.8939,PUCHERITE,FLUORAPATITE,HEULANDITE
20738.34,209.0834,PARASYMPLESITE,PHOSPHATES,MELANOPHLOGITE
22887.41,233.8741,RUBY,PHOSPHATES,RHODIZITE
10735.12,123.6512,BASALT,ANDESINE,SULFUR
2090.77,29.0077,KOVDORSKITE,STELLERITE,KUNZITE
34627.59,334.1759,HEMATITE,PUCHERITE,MELANOPHLOGITE
8242.65,89.1265,SEMSEYITE,GAYLUSSITE,BARATOVITE
33734.92,349.1492,HEMATITE,KOVDORSKITE,CHRYSOBERYL
13969.11,148.8911,ROSASITE,PARASYMPLESITE,ALBITE
8300.52,94.7052,KOTTIGITE,DIOPSIDE,THOMSONITE
11180.43,105.6043,NEPHELINE,KOVDORSKITE,OSUMILITE
22055.79,216.4579,CLEAVELANDITE,KOTTIGITE,DATOLITE
97.55,18.6755,ALBITE,SILICATES,BERLINITE
2754.48,45.7448,PHLOGOPITE,BOLEITE,PYROMORPHITE
3261.61,42.0161,DIAMOND,ILVAITE,CLINOHEDRITE
12088.73,127.7873,SILICATES,GMELINITE,SENARMONTITE
17728.04,185.1804,CLINOPTILOLITE,CUMMINGTONITE,BOURNONITE
8963.55,102.0355,SMITHSONITE,MELANOPHLOGITE,PYROAURITE
2749.78,31.3978,CHRYSOBERYL,HEULANDITE,BOURNONITE
7628.29,71.4829,OSUMILITE,SILICATES,CUMMINGTONITE
13426.8,145.868,ENSTATITE,SAINFELDITE,HEMATITE
267.02,0.1702,PARASYMPLESITE,BASALT,GORMANITE
7319.94,80.5994,PUCHERITE,ARFVEDSONITE,GORMANITE
4056.08,51.8608,NICKELINE,ERIONITE,SUNSTONE
16034.74,168.4474,HEULANDITE,PYROAURITE,PHOSPHATES
12198.92,139.8892,KOTTIGITE,ARSENIC,PARAVAUXITE
13238.92,129.5892,SCHORL,PARASYMPLESITE,GIBBSITE
2833.06,40.5306,BERLINITE,PARAVAUXITE,SCHORL
17705.31,192.4531,ROSE_QUARTZ,SCORODITE,BORAX
2350.64,31.7064,ICE,ROSASITE,BOURNONITE
6949.1,70.791,SMITHSONITE,GIBBSITE,PARASYMPLESITE
9835.31,89.8531,BLODITE,KOTTIGITE,ARFVEDSONITE
3565.85,52.9585,MARCASITE,SCHORL,OBSIDIAN
10515.69,113.1569,BOLEITE,ROSASITE,SENARMONTITE
15120.5,166.105,BORAX,RUBY,SILICATES
3654.36,44.8436,RUBY,ANDALUSITE,MELANOPHLOGITE
20734.96,216.9496,CUBANITE,ROSE_QUARTZ,BROOKITE
3178.45,25.9845,TALC,RHODIZITE,HINSDALITE
4391.81,52.7181,PARISITE,SULFUR,ANDALUSITE
5493.35,56.2335,SAINFELDITE,CLEAVELANDITE,BLODITE
17218.96,185.4896,SENARMONTITE,NEPHELINE,GORMANITE
5517.08,71.1708,HEMATITE,BARATOVITE,ROSASITE
18852.31,218.8231,BOLEITE,BERLINITE,SCORODITE
3188.51,50.2851,KUNZITE,BLODITE,NICKELINE
17780.91,190.9091,DIAMOND,ARTINITE,PHOSPHATES
4242.1,54.821,ARSENIC,SENARMONTITE,MALACHITE
16899.34,180.8934,DESCLOIZITE,ANDALUSITE,TREMOLITE
6908.59,67.4859,TALC,GIBBSITE,SAINFELDITE
23807.72,251.4772,ILVAITE,PUCHERITE,SELENITE
1899.94,25.5994,HEMATITE,ARSENIC,MARCASITE
23586.84,239.9684,BLODITE,DATOLITE,SMITHSONITE
14884.95,176.8495,SCORODITE,PARAVAUXITE,RHODIZITE
6433.71,70.7371,DEMANTOID,KUNZITE,SYLVITE
20550.12,205.4012,BLODITE,SYLVITE,RUBY
15518.51,158.3851,ARSENIC,PARASYMPLESITE,ANDERSONITE
9180.74,93.1074,ALMANDINE,SCORODITE,ANDALUSITE
13274.73,153.1473,PYROMORPHITE,PLATINUM,CLEAVELANDITE
8781.16,101.4116,BOURNONITE,BASALT,ALBITE
15132.79,157.9279,CORDYLITE,TREMOLITE,ALTAITE
10663.73,118.5373,ILVAITE,GAYLUSSITE,ALTAITE
11812.67,125.0267,TELLURIUM,HEULANDITE,GMELINITE
9259.93,102.9993,ILVAITE,CARNOTITE,NEPTUNITE
3050.2,45.302,SILVER,ALMANDINE,CACOXENITE
23015.08,245.6508,CLINOPTILOLITE,CUMMINGTONITE,PARISITE
16589.81,169.1981,PLATINUM,KUNZITE,PARISITE
2085.36,39.7536,STURMANITE,BLODITE,HUREAULITE
35159.29,346.3929,HEMATITE,NICKELINE,SCHORL
1296.8,17.168,DESCLOIZITE,SILVER,BOLEITE
12302.77,131.6277,SYLVITE,FLUORAPATITE,HINSDALITE
38011.84,397.5184,BARATOVITE,GAYLUSSITE,BOLEITE
9049.6,88.096,THOMSONITE,DIOPSIDE,PYROAURITE
12947.25,114.5725,ALMANDINE,STURMANITE,CACOXENITE
10365.59,122.8559,ANDERSONITE,SINHALITE,SCHORL
22166.12,243.3612,KOVDORSKITE,PARASYMPLESITE,CUMMINGTONITE
5543.38,54.2338,PYROAURITE,MARCASITE,TALC
16982.29,180.6229,HEMATITE,ERIONITE,BARATOVITE
6486.46,75.3646,PHOSPHATES,HEMATITE,DEMANTOID
1190.39,18.9039,PLATINUM,SULFUR,ALMANDINE
17510.1,176.401,STURMANITE,SCHORL,ILVAITE
16909.07,185.6907,DIAMOND,ANDERSONITE,BERLINITE
10023.58,89.0358,ACANTHITE,NEPHELINE,PYROAURITE
15234.4,174.344,DATOLITE,GMELINITE,PLATINUM
3107.68,39.7768,SULFUR,TAAFFEITE,COAL
25337.16,271.0716,SMITHSONITE,NICKELINE,OSUMILITE
32567.74,331.1774,ALMANDINE,BARATOVITE,SEMSEYITE
13201.33,132.9133,TALC,DEMANTOID,ANDALUSITE
4185.85,61.4585,DEMANTOID,GEODES,HOWLITE
1169.59,23.2959,PUCHERITE,ANDERSONITE,GAYLUSSITE
5865.54,53.9554,ANDERSONITE,HOPEITE,CACOXENITE
23413.26,240.3326,CORDYLITE,BIF,FLUORAPATITE
20993.53,226.2353,ROSASITE,RHODIZITE,PARAVAUXITE
6387.54,78.8754,PERIDOT,SELENITE,ALBITE
11860.67,132.3067,ILVAITE,KOTTIGITE,ALMANDINE
3277.11,47.5711,BOLEITE,SMITHSONITE,PYROMORPHITE
11380.57,118.1057,BERLINITE,ARSENIC,HUMITE
20555.62,216.8562,ACANTHITE,DEMANTOID,CUMMINGTONITE
14486.71,143.6671,MALACHITE,DIOPSIDE,BOURNONITE
13050.92,141.7092,BERLINITE,SENARMONTITE,CUBANITE
1527.21,20.5721,SAINFELDITE,BOURNONITE,ANDALUSITE
12192.2,142.322,SUNSTONE,TELLURIUM,THOMSONITE
20236.37,217.9637,ARFVEDSONITE,ANTIMONY,SELENITE
12550.56,123.6056,PHLOGOPITE,CUMMINGTONITE,ILVAITE
5436.68,62.0668,BIF,NICKELINE,CHRYSOBERYL
10664.47,104.7447,TALC,PERIDOT,PARAVAUXITE
4756.25,75.9625,KOVDORSKITE,GORMANITE,HUMITE
3429.02,30.1902,ALTAITE,HOPEITE,CUBANITE
21109.26,208.3926,BOURNONITE,OSUMILITE,ALBITE
25905.89,253.9589,TALC,SYLVITE,DATOLITE
12799.78,139.8978,PERIDOT,ROSASITE,ARSENIC
17002.95,171.9295,PLATINUM,ENSTATITE,TELLURIUM
26755.05,299.2505,PUCHERITE,SINHALITE,PERIDOT
25524.53,267.4453,DIAMOND,PHLOGOPITE,PARAVAUXITE
6212.66,62.3266,MARCASITE,FLUORAPATITE,MALACHITE
2353.36,18.9336,HUMITE,ACANTHITE,OBSIDIAN
6409.2,74.492,ARAGONITE,SILVER,GMELINITE
943.43,11.1343,DESCLOIZITE,CACOXENITE,ENSTATITE
8495.73,83.4573,NEPHELINE,CORDYLITE,BASALT
2405.04,28.8504,HINSDALITE,DIOPSIDE,GORMANITE
8201.79,107.5179,SCHORL,SYLVITE,HEMATITE
2141.02,33.7102,PUCHERITE,TREMOLITE,BORAX
26420.27,287.4027,THOMSONITE,TALC,SILVER
495.95,21.4595,BROOKITE,CHRYSOBERYL,ICE
33372.61,342.9261,SMITHSONITE,BERLINITE,CORDYLITE
17601.33,182.8133,DATOLITE,BASALT,NEPTUNITE
44241.56,440.0156,PARASYMPLESITE,RHODIZITE,CHRYSOBERYL
14425.73,139.0573,PARISITE,KOVDORSKITE,ERIONITE
19600.06,205.2006,TAAFFEITE,SILICATES,RUBY
4935.63,56.9563,BASALT,OSUMILITE,SEMSEYITE
25969.81,257.5981,ACANTHITE,RHODIZITE,CLINOHEDRITE
8460.19,71.0019,RUBY,NICKELINE,COAL
24293.38,235.9338,NEPHELINE,ICE,CUBANITE
8752.96,86.5296,PHOSPHATES,RUBY,COAL
4581.73,54.3173,GORMANITE,ARSENIC,STELLERITE
14304.56,148.9456,PLATINUM,ARSENIC,COAL
3657.05,56.5705,ICE,TELLURIUM,SEMSEYITE
15993.85,170.2385,HINSDALITE,DEMANTOID,BIF
21241.51,215.0151,CHRYSOBERYL,ALBITE,SENARMONTITE
15278.65,182.2865,ROSASITE,SEMSEYITE,DEMANTOID
1765.12,39.2512,CHLORITE,ROSASITE,SUNSTONE
760.11,23.5011,ALTAITE,BLODITE,CLEAVELANDITE
2633.9,33.239,ARTINITE,ROSE_QUARTZ,GAYLUSSITE
492.78,23.4278,ROSE_QUARTZ,GMELINITE,STELLERITE
227.58,15.9758,BROOKITE,BERLINITE,SEMSEYITE
13478.36,141.1836,ARTINITE,MALACHITE,ALTAITE
12540.18,127.8018,SILVER,KOTTIGITE,ROSASITE
24158.81,246.5881,CUBANITE,STURMANITE,PYROMORPHITE
27369.86,292.5986,MELANOPHLOGITE,BROOKITE,COAL
3166.75,49.9675,BORNITE,PYROAURITE,SCORODITE
7140.67,63.5067,PARISITE,COAL,KOTTIGITE
12279.21,121.2921,KOTTIGITE,BORNITE,TELLURIUM
11140.66,121.1066,ALBITE,PHLOGOPITE,CORDYLITE
18028.66,179.9866,TAAFFEITE,PHLOGOPITE,NEPHELINE
8974.9,107.949,PLATINUM,SELENITE,GMELINITE
25877.39,267.9739,PARISITE,BROOKITE,SELENITE
12808.8,147.488,SMITHSONITE,HUMITE,TAAFFEITE
34648.06,357.2806,CORDYLITE,PARISITE,ARSENIC
4206.69,48.9669,ARAGONITE,ANDERSONITE,SILVER
13219.48,140.1948,ROSE_QUARTZ,KUNZITE,ANTIMONY
14048.85,152.2885,ARTINITE,ACANTHITE,ARAGONITE
16299.11,169.0911,MELANOPHLOGITE,TELLURIUM,PYROAURITE
13064.29,139.8429,COAL,HEULANDITE,PHLOGOPITE
10669.2,119.092,SYLVITE,PUCHERITE,DIOPSIDE
17353.79,190.0379,MELANOPHLOGITE,HUREAULITE,BARATOVITE
9369.94,106.9994,COAL,GAYLUSSITE,ARSENIC
4361.7,44.817,DIAMOND,SUNSTONE,ROSASITE
3088.23,39.8823,STELLERITE,SILICATES,BORAX
19317.54,198.9754,DATOLITE,MARCASITE,ROSASITE
4103.75,39.5375,TREMOLITE,ANDESINE,DESCLOIZITE
541.65,20.8165,BERLINITE,BLODITE,CHLORITE
11667.38,123.3738,HEMATITE,PHOSPHATES,ERIONITE
14815.32,154.0532,HUMITE,SINHALITE,SULFUR
12877.41,143.6741,BLODITE,HUMITE,SUNSTONE
1062.5,15.925,OBSIDIAN,CARNOTITE,MALACHITE
16933.8,183.438,ALMANDINE,ERIONITE,CLINOHEDRITE
10078.54,104.7854,STURMANITE,PARAVAUXITE,ARAGONITE
32842.45,345.6245,CLINOHEDRITE,ARSENIC,GEODES
11502.97,114.9297,GORMANITE,PARASYMPLESITE,KOTTIGITE
28221.76,291.4176,ACANTHITE,SULFUR,ICE
32083.2,338.032,ALTAITE,ROSASITE,HOWLITE
1861.96,17.8196,DATOLITE,SUNSTONE,BOLEITE
11275.52,135.2552,COAL,OBSIDIAN,STURMANITE
15388.33,162.6833,BIF,PYROAURITE,BORNITE
4565.95,57.2595,GORMANITE,BOLEITE,BORNITE
11493.28,137.4328,SCHORL,ARSENIC,MELANOPHLOGITE
19427.38,196.6738,SELENITE,ARAGONITE,SILICATES
12175.98,140.5598,TALC,GEODES,NEPTUNITE
18102.83,211.4283,RHODIZITE,ARTINITE,BIF
1565.56,23.0556,COAL,SULFUR,ALTAITE
5509.17,67.7917,ERIONITE,PUCHERITE,PERIDOT
1317.22,12.2722,ARFVEDSONITE,DIAMOND,BERLINITE
4908.27,52.1827,CARNOTITE,NEPHELINE,THOMSONITE
24895.83,239.5583,MARCASITE,ARAGONITE,ENSTATITE
9566.69,106.9669,GORMANITE,DEMANTOID,OSUMILITE
7951.92,89.2192,SAINFELDITE,TAAFFEITE,KUNZITE
7451.04,81.8104,NEPHELINE,GORMANITE,BLODITE
20467.38,211.3738,BERLINITE,DEMANTOID,ANTIMONY
8420.43,84.8043,TELLURIUM,SULFUR,BLODITE
18445.69,193.7569,GIBBSITE,FLUORAPATITE,HEULANDITE
27030.61,290.1061,SMITHSONITE,ARAGONITE,RHODIZITE
11889.03,126.7903,SINHALITE,SUNSTONE,HINSDALITE
14582.31,151.7231,ARAGONITE,ILVAITE,GEODES
13972.24,163.0224,CUMMINGTONITE,FLUORAPATITE,BARATOVITE
845.12,2.5512,PARAVAUXITE,SUNSTONE,DEMANTOID
4425.78,54.4578,BLODITE,GAYLUSSITE,ERIONITE
5347.71,53.0771,COAL,MARCASITE,SELENITE
22930.45,234.4045,CLEAVELANDITE,BASALT,MALACHITE
13427.95,150.0795,ICE,PLATINUM,CACOXENITE
10820.22,119.5022,NEPHELINE,TREMOLITE,ERIONITE
17431.3,186.613,SCORODITE,ANTIMONY,SINHALITE
9043.61,112.3361,ANDERSONITE,PHLOGOPITE,ARAGONITE
19906.62,207.6662,HEMATITE,SENARMONTITE,TELLURIUM
25214.09,249.3409,KOTTIGITE,MELANOPHLOGITE,GEODES
12308.69,123.5869,OSUMILITE,ARFVEDSONITE,CHRYSOBERYL
10314.81,126.0481,BORNITE,OSUMILITE,ALTAITE
5247.36,56.1736,ACANTHITE,SYLVITE,KOVDORSKITE
7523.02,96.5302,CUBANITE,BIF,SELENITE
6179.9,70.899,ALMANDINE,DESCLOIZITE,SMITHSONITE
11211.16,110.0116,CUBANITE,STELLERITE,ANDESINE
11864.14,124.6414,NICKELINE,SCHORL,PARASYMPLESITE
5087.53,72.6753,ALMANDINE,ILVAITE,HEMATITE
31596.35,334.9635,OSUMILITE,SCHORL,HUMITE
11384.3,128.543,OSUMILITE,PYROAURITE,CHLORITE
5789.2,82.292,BROOKITE,TELLURIUM,KOVDORSKITE
1984.03,42.0403,STELLERITE,SULFUR,ROSE_QUARTZ
8618.04,84.3804,DIOPSIDE,NEPHELINE,CHRYSOBERYL
5553.06,63.7306,MALACHITE,DATOLITE,DESCLOIZITE
1095.12,41.3512,OSUMILITE,BARATOVITE,PARAVAUXITE
23019.76,262.3976,BOLEITE,ALMANDINE,MARCASITE
25149.32,243.2932,ENSTATITE,SULFUR,ALTAITE
7034.27,78.8427,ICE,FLUORAPATITE,SILICATES
1779.21,6.9921,CACOXENITE,CLINOPTILOLITE,CORDYLITE
9812.48,106.0248,THOMSONITE,HEMATITE,ANDERSONITE
9074.91,88.1491,BLODITE,SMITHSONITE,MALACHITE
3208.36,35.5836,ROSASITE,BROOKITE,MARCASITE
10087.01,112.5701,COAL,CLINOPTILOLITE,ACANTHITE
18675.86,198.8586,KOVDORSKITE,MELANOPHLOGITE,ROSASITE
6379.06,60.1906,BORAX,PYROMORPHITE,DATOLITE
32344.59,325.8459,PHOSPHATES,PERIDOT,HEMATITE
34745.92,345.6592,BIF,ENSTATITE,FLUORAPATITE
13115.52,150.7552,CLINOHEDRITE,BORAX,ACANTHITE
6401.96,76.8196,TAAFFEITE,SEMSEYITE,HEMATITE
1271.6,27.616,ARFVEDSONITE,HOPEITE,RUBY
28317,297.77,NEPHELINE,BROOKITE,HUMITE
29948.08,296.0808,ANTIMONY,OSUMILITE,THOMSONITE
15676.21,179.8621,PLATINUM,ANDALUSITE,ARTINITE
15775.44,174.5544,ALBITE,BARATOVITE,GMELINITE
4701.45,70.0145,CUMMINGTONITE,SILICATES,CLINOHEDRITE
23559.65,244.4965,KUNZITE,ROSE_QUARTZ,ALBITE
33475.65,348.6565,ENSTATITE,ROSASITE,CORDYLITE
3732.32,65.5232,GEODES,ALTAITE,TREMOLITE
16485.79,185.2579,SEMSEYITE,ALBITE,GAYLUSSITE
4238.69,61.7869,BIF,SCORODITE,ALTAITE
7793.93,87.5393,HEMATITE,CORDYLITE,CUBANITE
10225.49,110.1549,DIAMOND,ENSTATITE,SEMSEYITE
19718.99,209.3899,RUBY,TALC,ENSTATITE
8872.56,88.6256,DESCLOIZITE,BOLEITE,HEULANDITE
19900.46,209.7046,PLATINUM,ERIONITE,HEULANDITE
10999.45,128.1945,CHLORITE,CORDYLITE,ARAGONITE
4377.74,50.1774,COAL,PUCHERITE,HOPEITE
29255.28,301.2528,ROSASITE,ANDESINE,GIBBSITE
25605,264.15,ROSE_QUARTZ,SULFUR,ARAGONITE
2555.39,34.7539,PYROMORPHITE,RUBY,CLINOPTILOLITE
18969.06,180.6906,SILICATES,FLUORAPATITE,RUBY
10768.94,106.3894,ACANTHITE,SYLVITE,OBSIDIAN
3418.2,38.882,SEMSEYITE,RHODIZITE,TREMOLITE
10125.65,123.2565,TELLURIUM,PLATINUM,SELENITE
15455.14,179.3514,SCHORL,MALACHITE,DIOPSIDE
24652.52,267.3252,STELLERITE,HUREAULITE,RHODIZITE
1985.72,27.6572,HINSDALITE,BOURNONITE,MALACHITE
16750.79,178.9079,HEMATITE,CLEAVELANDITE,MARCASITE
22175.36,233.0536,PHLOGOPITE,ANTIMONY,DIAMOND
19850.58,205.9058,CLEAVELANDITE,TREMOLITE,STURMANITE
10303.27,119.8327,PUCHERITE,CLINOPTILOLITE,GORMANITE
2681.19,22.7119,DEMANTOID,GAYLUSSITE,SCHORL
4555.18,60.8518,CORDYLITE,GMELINITE,MARCASITE
7666.22,85.0622,MARCASITE,FLUORAPATITE,PERIDOT
5126.2,42.662,DESCLOIZITE,DEMANTOID,SELENITE
14235.48,148.6548,BOURNONITE,ALBITE,OBSIDIAN
15176.11,158.6611,SCORODITE,OSUMILITE,BARATOVITE
47517,488.37,BASALT,ALBITE,CLINOHEDRITE
2364.16,36.0416,CUBANITE,PARASYMPLESITE,RHODIZITE
7039.03,82.3903,PHLOGOPITE,SYLVITE,PERIDOT
6696.66,80.6666,BLODITE,THOMSONITE,PUCHERITE
2125.73,26.3573,PARASYMPLESITE,RHODIZITE,SYLVITE
1799.07,25.3907,NEPHELINE,ICE,BERLINITE
12609.59,136.1959,TALC,SILICATES,SCORODITE
12230.98,133.7098,BASALT,MELANOPHLOGITE,SINHALITE
15984.44,176.9444,STELLERITE,BERLINITE,OBSIDIAN
28429.86,296.0986,PUCHERITE,PHLOGOPITE,PARASYMPLESITE
6289.82,77.8982,ARSENIC,ALTAITE,CUMMINGTONITE
11434.23,128.8423,PYROAURITE,PARAVAUXITE,CARNOTITE
5869.73,72.2973,BLODITE,SCHORL,HINSDALITE
8734.93,89.9493,OSUMILITE,KOVDORSKITE,NEPHELINE
40746.1,412.361,SULFUR,BORNITE,SCORODITE
18363.22,195.2322,PHOSPHATES,CLINOHEDRITE,DIOPSIDE
13743.26,148.7326,GEODES,GMELINITE,OBSIDIAN
2469.57,10.0957,KUNZITE,ALMANDINE,BROOKITE
17600.48,196.8048,CLINOPTILOLITE,DESCLOIZITE,SILICATES
6973.12,78.9312,CHLORITE,CHRYSOBERYL,ALTAITE
297.62,30.9762,CLINOHEDRITE,HOPEITE,PLATINUM
11662.1,125.821,ANDALUSITE,PYROMORPHITE,SENARMONTITE
15680.45,159.9045,RHODIZITE,BORNITE,BOURNONITE
10196.87,112.0687,CLINOHEDRITE,PHLOGOPITE,HOPEITE
1323.81,18.2381,THOMSONITE,STURMANITE,BIF
8850.75,119.9075,BOLEITE,BOURNONITE,NEPTUNITE
16646.01,163.8601,HOPEITE,NICKELINE,ARAGONITE
11278.11,120.2811,BROOKITE,BASALT,DESCLOIZITE
12322.5,132.625,SMITHSONITE,SAINFELDITE,PHLOGOPITE
973.9,40.339,HEMATITE,GORMANITE,TALC
527.06,19.6706,ARAGONITE,PLATINUM,ARFVEDSONITE
13176.73,145.4673,PHOSPHATES,ANDESINE,SILVER
983.4,13.834,THOMSONITE,MELANOPHLOGITE,CUMMINGTONITE
1912.97,22.8297,KUNZITE,GORMANITE,CUMMINGTONITE
14974.18,163.4418,KOTTIGITE,TREMOLITE,DIAMOND
7293.86,99.8386,CLINOPTILOLITE,ERIONITE,ARSENIC
2205.58,43.4558,HOWLITE,HOPEITE,PYROAURITE
21268.8,229.188,SMITHSONITE,KUNZITE,DEMANTOID
8924.64,116.5464,COAL,NICKELINE,SYLVITE
10219.73,114.4973,SUNSTONE,RHODIZITE,ANDERSONITE
10991.43,99.2143,KUNZITE,ARSENIC,MALACHITE
12329.52,136.4952,HEULANDITE,SELENITE,CARNOTITE
6099.79,56.6979,CLINOPTILOLITE,ARSENIC,HOWLITE
18580.72,194.3072,SMITHSONITE,ARSENIC,PUCHERITE
16021.7,180.217,COAL,BLODITE,CARNOTITE
5684.27,58.2427,TREMOLITE,PHOSPHATES,PARISITE
19693.14,204.6314,CUMMINGTONITE,MELANOPHLOGITE,OSUMILITE
5453.94,70.1394,ICE,DESCLOIZITE,DATOLITE
24911.49,257.6149,MALACHITE,SCORODITE,GIBBSITE
6258.87,63.3887,BORNITE,ALTAITE,SAINFELDITE
24805.18,258.9518,BOURNONITE,SULFUR,SELENITE
12854.76,130.0476,PUCHERITE,PLATINUM,ALTAITE
29758.91,287.6891,CLINOHEDRITE,TELLURIUM,ROSASITE
4726.37,59.5637,MELANOPHLOGITE,SCHORL,SILVER
36905.01,373.1501,ICE,KOVDORSKITE,SELENITE
14618.73,146.1873,CUMMINGTONITE,STELLERITE,SUNSTONE
1948.27,32.3827,CLINOPTILOLITE,TAAFFEITE,HOPEITE
17710.7,181.707,BORNITE,SENARMONTITE,CUBANITE
8334.33,124.2433,SCHORL,ARAGONITE,MARCASITE
9017.04,99.9704,SILICATES,TALC,BASALT
1416.26,42.9626,TELLURIUM,DATOLITE,DEMANTOID
16061.24,163.9124,ANDERSONITE,CHLORITE,SCHORL
2572.32,28.4232,HEULANDITE,NICKELINE,CUBANITE
16521.84,175.3184,PUCHERITE,ALTAITE,CORDYLITE
17681.71,180.3171,OBSIDIAN,NEPHELINE,BASALT
7917.53,96.3753,HEMATITE,CHRYSOBERYL,ANDERSONITE
10505.39,122.6539,ALMANDINE,DESCLOIZITE,GORMANITE
4320.49,38.0049,SYLVITE,GEODES,ARAGONITE
27036.04,303.7604,ENSTATITE,COAL,ANDESINE
5642.2,78.322,RHODIZITE,ANTIMONY,ILVAITE
15943.74,168.3374,TAAFFEITE,TELLURIUM,ROSASITE
27626.35,290.8635,BERLINITE,SAINFELDITE,PARASYMPLESITE
3316.61,42.0661,CHLORITE,BOLEITE,SULFUR
4599.79,51.4979,PLATINUM,CHLORITE,OSUMILITE
5787.08,87.1708,ALTAITE,ICE,SENARMONTITE
12750.65,122.7065,ANTIMONY,GAYLUSSITE,PHOSPHATES
8254.98,114.3498,SEMSEYITE,DIAMOND,BOLEITE
14884.02,130.7402,CACOXENITE,THOMSONITE,MARCASITE
21482.44,235.3244,BORAX,CACOXENITE,SULFUR
11649.03,146.5903,CLINOHEDRITE,ANDALUSITE,CHRYSOBERYL
12746.42,145.6642,SELENITE,ANTIMONY,BERLINITE
19788.86,210.2886,SELENITE,GORMANITE,PYROMORPHITE
4321.99,36.5199,PERIDOT,CLINOHEDRITE,SCORODITE
11157.01,111.7701,MALACHITE,ERIONITE,HUREAULITE
13755.76,145.6576,SILVER,CACOXENITE,SULFUR
3699.16,60.0916,ANDALUSITE,ERIONITE,HOWLITE
13346.4,151.564,RHODIZITE,TALC,DIAMOND
6254.7,63.047,OBSIDIAN,ACANTHITE,ROSASITE
13741.8,154.118,DIAMOND,SILICATES,HOWLITE
16694,172.24,ARAGONITE,ROSE_QUARTZ,PYROMORPHITE
71.74,25.3174,SELENITE,BOLEITE,NICKELINE
11207.06,119.2706,SUNSTONE,STURMANITE,ARAGONITE
20317.24,197.1724,DESCLOIZITE,FLUORAPATITE,NEPTUNITE
3783.62,41.2362,ENSTATITE,RUBY,CHRYSOBERYL
17437.41,182.2741,ICE,ARTINITE,BARATOVITE
7009.31,82.4931,SYLVITE,DIAMOND,HOPEITE
10950.39,126.6039,RUBY,BORNITE,KOVDORSKITE
12130.18,137.4018,HUMITE,TELLURIUM,MALACHITE
19602.69,218.0269,ARAGONITE,PHOSPHATES,ANDERSONITE
27315.75,279.4575,GAYLUSSITE,PHOSPHATES,CHLORITE
10377.44,91.5744,TAAFFEITE,SELENITE,GEODES
17993.1,177.231,RHODIZITE,SEMSEYITE,BASALT
11828.9,122.989,MELANOPHLOGITE,PLATINUM,BORAX
1398.91,24.6891,ARAGONITE,SMITHSONITE,OSUMILITE
14427.29,150.7729,SILICATES,ACANTHITE,ANTIMONY
16329.46,159.3946,ANDERSONITE,ANDESINE,KOTTIGITE
677.21,17.7721,PERIDOT,PHOSPHATES,GMELINITE
